Phrasal Verb,Meaning,Example
bug out,Leave somewhere in a hurry.,They BUGGED OUT when the police
build up,Develop a company.,She BUILT the business UP from nothing
build up,Increase.,Tension has been BUILDING UP ever
bulk out,Make something bigger or thicker.,I BULKED the essay OUT with a few
bulk up,"Gain weight, develop bigger muscles.",He's BULKED UP a lot since he got
bump into,Meet by chance.,I BUMPED INTO Helen on the
bump off,Kill.,The drug dealer was BUMPED OFF by a
bump up,Increase.,They BUMP UP the prices in the high
bundle off,Send someone somewhere.,He BUNDLED the kids OFF to bed.
bundle out,Expel.,The barman BUNDLED the drunk OUT
bundle up,Put on warm clothing.,We BUNDLED UP before going out as it
bundle up,Wrap or tie things together.,I BUNDLED UP my newspapers and
bunk off,Not go to school when you should.,I used to BUNK OFF school and go into
buoy up,Make someone feel more positive.,"After so much criticism, the positive"
buoy up,Keep afloat.,The lifejacket BUOYED me UP till the
burn down,Burn completely.,They had to completely rebuild the
burn off,Remove by burning or similar process.,I BURN OFF a lot of calories in the gym.
burn out,Lose enthusiasm and energy to continue in,a demanding job.Jennie BURNT OUT after ten years
burn up,Destroy completely by fire.,All his possessions were BURNED UP in
burn up,Drive at high speed.,The bank robbers BURNED UP the roads
burn up,To be or cause to be highly annoyed.,His undeserved win in the election really
burst into,Catch fire very quickly.,The car BURST INTO flames and the
burst into,"Laugh, cry or clap loudly.",She BURST INTO laughter when she
bust up,"End a relationship, usually angrily or after",arguing.They BUST UP after a row last night.
butt in,Interrupt.,I hope you don't mind me BUTTING IN
butt out,Not be involved in other people's business.,"This is none of your business, so just"
butter up,Praise or flatter someone excessively.,I tried BUTTERING my tutor UP but she
buy in,Force a,CD or record into the charts by
buy into,Accept an idea.,I never BOUGHT INTO the idea of a
buy off,Pay someone to stop them causing trouble.,He BOUGHT the newspaper OFF by
buy out,Buy somebody's share in a company.,His business partners BOUGHT him
buy up,Buy all of something.,We BOUGHT UP all the shop had before
buzz off,Leave somewhere.,I'm BUZZING OFF now- I have to meet
buzz off,!,Go away (imperative).He told them to BUZZ OFF because they
call after,Name someone after somebody else.,She was CALLED Rose AFTER her late
call around,Visit.,I CALLED AROUND but she wasn't in.
call back,Return a phonecall.,I must CALL her BACK when we get to
call for,Demand.,The Opposition party CALLED FOR the
call for,Go to collect something.,"The courier CALLED FOR your parcel,"
call for,Telephone for something.,I'll CALL FOR a cab right away.
call for,Go and collect someone to take them out.,"I'll CALL FOR you at seven, so be ready"
call for,Require.,An emergency like this CALLS FOR
call forth,Make something happen.,The protests CALLED FORTH a strong
call in,Get someone to come and do a job.,We had to CALL IN a plumber because
call in,Stop and visit.,I CALLED IN on Jenny on my way home
call off,Cancel.,The concert had to be CALLED OFF
call off,Order someone to stop attacking.,CALL OFF your lawyers; we can work
call on,Ask for help.,The President CALLED ON the wealthy
call on,Visit.,"As we were in the area, we CALLED ON"
call on,Challenge.,He CALLED the speaker ON several
call on,"Ask someone to do something, especially",to speak in public. (Formal).I now CALL ON the other party to give
call out,Expose or accuse someone of wrongdoing,or incompetence.He CALLED them OUT over awarding
call round,Visit.,I CALLED ROUND on my way home
call up,Summon someone for military service.,The army CALLED UP the reserve
call up,Telephone.,I CALLED him UP as soon as I got to a
calm down,Stop being angry or emotionally excited.,"When I lose my temper, it takes ages for"
cancel out,Have an opposite effect on something that,"has happened, taking things back to the"
cap off,"Finish or complete, often with some",decisive action.She CAPPED OFF the meeting with a
care for,Like.,I don't CARE FOR fizzy drinks; I prefer
carry off,"Win, succeed.",She CARRIED OFF the first prize in the
carry off,Die of a disease.,Cancer CARRIED him OFF a couple of
