Phrasal Verb,Meaning,Example
lock in,Commit someone in such a way that they,cannot leave.They are LOCKED IN now that they
lock onto,Find a target and head for it.,The missile LOCKED ONTO the plane
lock out,Close a workplace to stop workers,entering.The management LOCKED the staff
lock out,Lock a place to stop someone getting in.,I lost my key and LOCKED myself OUT.
lock up,"Close all doors, windows, etc..",She LOCKED UP after everyone had left
lock up,Lock something in a safe place.,I LOCKED my money UP in the safe.
lock up,Put in prison or a mental hospital.,They LOCKED him UP for burglary.
log in,Enter a restricted area on a computer,system.I had forgotten my password and couldn't
log into,Enter a restricted area of a computer,system.I LOGGED INTO the staff intranet to
log off,Exit a computer system.,When she'd finished working on the
log on,Enter a computer system.,He entered his password for the college
log out,Exit a computer system.,Danny closed the programs and
look after,Take care.,Their auntie LOOKED AFTER them
look back,Think about the past.,Old people often LOOK BACK on over
look down,Have a low opinion of. He LOOKS DOWN ON his colleagues,
look for,Try to find.,I've been LOOKING FOR all their
look in,Make a quick visit.,I'll LOOK IN on my way home.
look in on,Visit briefly to see if everything's all right.,I'm going to LOOK IN ON grannie on the
look into,"Research, investigate.",We'll LOOK INTO the problem and come
look on,Watch something like a crime without,helping.The crowd just LOOKED ON as the old
look on as,"Consider, regard.",I LOOK ON her AS a close friend.
look out,Be careful.,LOOK OUT; you're going to drop that!
look out,,
look out,,
look over,Inspect.,They came to LOOK the house OVER
look round,Inspect a house.,We LOOKED ROUND the house and
look to,"Expect, hope.",The company is LOOKING TO increase
look up,"Consult a reference work (dictionary,","phonebook, etc.) for a specific piece of"
look up,Improve.,The economy is LOOKING UP.
look up,"Find, trace an old friend.",I LOOKED him UP when I went back to
look up to,Respect.,She's LOOKS UP TO her mother.
look upon,,
loosen up,Become more relaxed or comfortable.,He was very shy at first but has
lord it over,Behave in a superior manner.,She loves to LORD IT OVER her
lose out,Be at a disadvantage.,Many people LOST OUT when the new
lose out on,Not gain or have something advantageous.,"Because I left the company, I LOST OUT"
lose out to,Be less successful.,People without IT skills often LOSE
luck into,Get something by chance.,We LUCKED INTO getting the answer.
luck out,Be very lucky.,I really LUCKED OUT when I met my
lust after,Be attracted sexually.,He secretly LUSTS AFTER his friend’s
lust after,Want something very much.,He LUSTS AFTER a Rolex.
magic away,Make something disappear quickly.,He MAGICKED the bill AWAY and paid
make after,Chase.,The police MADE AFTER the stolen car.
make away,,
make do,,
make for,Head in a certain direction.,We MADE FOR home when it started
make for,Produce a result or situation.,The low quality of the service MADE
make into,Change something into something else.,Many churches have been MADE INTO
make it,Arrive or get a result.,"I thought you weren't coming, so I was"
make it,up,
make of,Understand or have an opinion.,What do you MAKE OF your new boss?
make off,Leave somewhere in a hurry.,They MADE OFF when they heard the
make off,,
make out,Make a cheque payable to somebody.,Please MAKE the cheque OUT to RGM
make out,Pretend.,He MADE OUT that he was ill so that he
make out,Progress.,How are your children MAKING OUT at
make out,Kiss and pet.,They were MAKING OUT at the party
make out,Discern a small detail.,I can just MAKE OUT the outline of a
make out,Be able to see or hear something.,Can you MAKE OUT what she's saying?
make out,Understand someone's nature or,personality.He's strange; I can't MAKE him OUT.
make over,Change appearance.,The beauty salon gave her a
make over,Give money or possessions to someone in,a legal way.She MADE OVER her property to her
make up,Stop being angry with someone.,"They are always arguing, but they MAKE"
make up,Put on cosmetics.,She went to the bathroom to MAKE her
make up,Invent a story.,They MADE UP an excuse for being late.
make up for,Compensate.,I sent her a present to try to MAKE UP
make up to,Increase a sum received to a higher figure.,"The charity collected £24,517.57, and the"
make with,Give (usually used as an imperative).,MAKE WITH the money you owe me.
man down,Behave without courage or conviction.,He MANNED DOWN and didn't come
man up,Behave with courage or conviction.,She told her anonymous critics to MAN
mark down,Give a student a lower grade for a,particular reason.Students who gave obviously rehearsed
mark down,Reduce the price of something.,I'll buy a lot more if you MARK them
mark down,,
mark off,"Tick, cross out or otherwise mark",something to show that it has been dealt
mark out,Draw lines to enclose an area.,They MARKED OUT the pitch.
mark out,,
mark out,,
mark up,Increase the price of something.,They MARK the goods UP by 25%
marry in,"Marry someone of the same ethnicity,","religion, etc.Many religions encourage their followers"
marry out,"Marry someone of a different ethnicity,","religion, etc.Her parents disowned her and refused to"
mash up,Crush something until it becomes a paste.,He MASHED UP some bananas for the
mash up,"Mix sources of audio, video or other",computer sources..She MASHED UP the songs into a single
mash up,Break or damage.,He MASHED UP my MP3 player and
max out,"Take something to the limit, reach a limit.",She MAXED OUT her credit cards.
measure off,Measure something and mark the point,where it ends or will be cut.The tailor MEASURED OFF the material
measure off,Mark a length on something to cut it.,He MEASURED OFF a metre of the silk.
measure up,Find the size of something.,The estate agent MEASURED UP all the
measure up,"Be good enough, meet the required",standard.She didn't MEASURE UP in her
measure up,Be good enough.,"They made her a director, but she didn't"
measure up,Find out the size of something.,They MEASURED UP the room.
measure up,,
meet with,Have something happen to you.,They MET WITH some problems they
melt down,"Heat something solid, especially metal,",until it becomes liquid.They MELTED the gold statue DOWN
mess about,"Not be serious, not use something",properly.The children were MESSING ABOUT
mess about,Treat someone badly.,He is always MESSING me ABOUT and
mess about,Have a sexual relationship outside,marriage or a permanent relationship.He's not faithful- he's been MESSING
mess about,,
mess about,,
mess over,Treat someone badly.,They MESSED her OVER when she
mess up,Spoil or ruin.,They MESSED UP the discussions and
mess up,Make something untidy or dirty.,They MESSED UP the room and left
mess up,"Cause mental, physical or emotional",problems.He took a lot of LSD and it really
mess with,Become involved in something damaging,or dangerous.He's been MESSING WITH cocaine.
mess with,"Annoy, bother.",Don't MESS WITH me or there will be
mess with,Associate (negative).,He's been MESSING WITH some
mess with,"Try to repair or improve, usually",unsuccessfully.She's been MESSING WITH it for hours
mete out,Give people harsh punishments or,treatment.They METED OUT savage penalties to
mill around,Walk around without going anywhere.,There were a lot of people MILLING
miss out,Not do something enjoyable or rewarding.,It'll be great; you'll be MISSING OUT if
miss out,Not include.,Make sure you don't MISS anyone OUT
miss out on,"Lose a chance, fail to achieve.",Trudy MISSED OUT ON the promotion.
mix up,Confuse.,I always MIX those two sisters UP
mix up,Make something lively.,The DJ MIXED UP the night with some
mock up,Make a model of something to show or,test it.They MOCKED UP an example to show
moggy off,Leave ('moggie off' is also used.).,We MOGGIED OFF early.
mop up,Resolve a problem.,He was left to MOP UP the mess after
mop up,Kill or capture the last few enemy soldiers,"after a victory..After the battle, it took them a couple of"
mop up,Eat a sauce with bread to finish it.,The sauce was so delicious that I ordered
mop up,Remove a liquid that has been spilt.,I used a cloth to MOP UP the coffee I had
mope about,Move around being miserable.,She didn't get the job and has been
mount up,Increase over time.,My debts MOUNTED UP while I was at
mouth off,Speak angrily about something.,I always get angry and start MOUTHING
move ahead,"Make progress, often after a pause or",delay.The construction can MOVE AHEAD
move along,Tell someone to move from a place.,The police told the people watching to
move along,Develop or progress in a reasonable or,satisfactory manner.The project's MOVING ALONG and
move away,Leave the area where you have been,living.I MOVED AWAY when the factory shut
move away,,
windows and,are using,Linux.
move down,Move a student to a lower level.,He was finding the course too difficult so
move in,Start living in a place.,"The house was empty for ages, but some"
move in on,"Approach, often stealthily.","As he watched, the hyenas began to"
move into,Start living in a place.,They MOVED INTO the house as soon
move on,Change the subject or your job.,She MOVED ON to another company
move on,Make people move from a place.,The police MOVED the crowd ON
move out,Leave a place you live or work in.,She's tired of living there and is
move out,Remove.,The president said they would MOVE the
move out,Change lane or position to pass a vehicle.,I MOVED OUT to overtake the bus.
move up,Move to make space.,Could you MOVE UP and let me sit
move up,Move to a higher level.,They MOVED her UP to senior
muddle up,Take things that are ordered or sequenced,and mess them up.My cleaner MUDDLED UP my books
muddle up,Mistake a person or thing for someone or,something else because they look similar.I MUDDLE her and her sister UP.
mug up,"Study quickly, revise.",I have to MUG UP before the exam.
mug up on,"Study something quickly, revise.",I need to MUG UP ON my history for the
mull over,Think about an issue or problem.,She said that she'd had to MULL IT
muscle in,Become involved in something when your,"involvement is not wanted.We tried to exclude him of the committee,"
muscle in,,
muscle into,Become involved even though there is,opposition to your involvement.They are MUSCLING INTO our market
muscle out,"Use power, contacts, etc, to force someone",out.They used their contacts in local
naff off,"Get lost, go away (used as imperative).","He was making a fuss, so I told him to"
nag at,Repeatedly criticise someone verbally.,My boss is always NAGGING AT me
nail down,"Succeed in getting, achieve.",They are having trouble NAILING
nail down,Understand fully.,I can't NAIL DOWN what's wrong with
nail down,Get full information from someone.,I can't NAIL them DOWN about when
nail down,Succeed or achieve something.,I NAILED the job DOWN in the first
name after,Give someone a name to remember,another person.I was NAMED AFTER my uncle who
nerd out,Play safe and avoid taking a risk.,I'm going to NERD OUT and not go on
nerd out,Discuss something in great detail.,I had to NERD OUT when they asked
nip off,Go somewhere quickly.,I'm NIPPING OFF to get some milk.
nip out,Go somewhere quickly.,She'll be back in a minute- she's just
nod off,Fall asleep.,I NODDED OFF during the speech.
nose about,Look for something hidden or secret.,The police are NOSING ABOUT to see if
nose out,"Find out, discover- usually information,","secrets, etc.He NOSED OUT their plans."
nose out,Narrowly beat someone.,The other candidate NOSED him OUT by
note down,Write something short like a phone,number for future reference..She NOTED DOWN my fax number so
nut out,Find an answer to a problem.,The management and unions had a
occur to,Enter one's mind.,Didn't it OCCUR TO you to help me
open up,Start to talk freely about something.,She hates to OPEN UP and discuss her
open up,Open a shop or business for the day.,They OPEN UP at seven in the morning.
open up,Allow goods into a market.,"Before they joined the WTO, they had to"
operate on,Perform surgery.,She was OPERATED ON for eight hours.
opt for,Choose.,I OPTED FOR an endowment mortgage
opt in,Choose to be part or a member of,something.If you want them to notify you of
opt into,Choose to be a member or part of,something.I OPTED INTO the scheme.
opt out,Choose not to be part of something.,The UK OPTED OUT of a lot of EU
owe to,Be the reason for something.,She OWES her success TO hard work
own up,Confess.,Nobody OWNED UP to breaking the
pack away,Put something where it belongs.,I PACKED AWAY the suitcases in the
pack in,Stop doing something.,I'm trying to PACK IN smoking.
pack in,End a relationship.,She PACKED her boyfriend IN.
pack in,Fill a venue.,They really PACK them IN at the club- it
pack in,"Break down, stop working.",The photocopier has PACKED IN again.
pack it in,Stop doing something (used as an,"imperative).The kids were making a fuss, so I told"
pack off,Send someone away.,His boss PACKED him OFF to a regional
pack out,Fill a venue.,The stadium was PACKED OUT.
pack up,Stop doing something.,You should PACK UP smoking.
pack up,Finish work.,"We had nothing left to do, so we"
pack up,"Break down, stop working.",My printer PACKED UP last night- I'll
pack up,Collect things and put them where you,"keep them.At the end of the presentation, I PACKED"
pad down,Sleep somewhere for the night.,I'm too tired to come home; can I PAD
pad out,Make a text longer by including extra,"content, often content that isn't particularly"
pair off,Begin a romantic relationship.,They PAIRED OFF shortly after starting
pair off,"Introduce people, hoping they will start a",relationship.I tried to PAIR him OFF with my sister.
pair off,Form pairs.,The class PAIRED OFF to practise the
pair off,,
pair up,Form a pair.,We PAIRED UP for the last activity
pal about,Be friendly and spend time with someone.,We used to PAL ABOUT when we were
pal around,Be friendly and spend time with someone.,We PALLED AROUND at university.
pal up,Become friends.,We PALLED UP when I started working
palm off,Get someone to accept something that isn't,true.He tried to PALM me OFF with a
palm off,Pretend something is better than it is in,order to sell it.He tried to PALM his computer OFF as
pan out,The way a situation develops.,I don't know how things will PAN OUT
paper over,Try to conceal a problem without really,fixing it.The government tried to PAPER OVER
pare back,"If you pare something back, you reduce",the size or numbers..They have had to PARE BACK the
pare down,"Reduce, decrease.",They have PARED DOWN the number of
part with,"Give something away, especially when",you don't want to.I found it very hard to PART WITH my
pass around,Give out to everybody there.,The teacher PASSED the handout
pass as,Be believed to be something.,"Although not qualified, he managed to"
pass away,Die.,"Sadly, Georgia's uncle PASSED AWAY"
pass back,Return.,I felt awful when the teacher started to
pass by,Go past without stopping.,I was just PASSING BY when I saw the
pass by,Visit briefly.,I was PASSING BY her house the other
pass by,Miss an opportunity.,The chance for promotion PASSED me
pass down,Transmit information or give property to,younger generations.The tales were PASSED DOWN for
pass for,"Be accepted as something, usually when",not.You'd be surprised at what PASSES FOR
pass off,Convince something that something is,real.I managed to PASS OFF the fake money
pass off,Happen in a certain way.,The demonstration PASSED OFF
pass on,Give a message to someone.,I'll PASS the message ON when she gets
pass on,Decline an invitation or opportunity.,I think I'll PASS ON dinner tonight- I'm
pass on,Die.,Her husband PASSED ON last year.
pass on to,Change topic or subject.,Let's PASS ON TO the next item on the
pass out,"Faint, lose consciousness.",He got so drunk that he PASSED OUT.
pass out,Distribute.,The protesters PASSED OUT leaflets to
pass over,"Ignore someone and give a job, reward,","etc, to someone more junior.They PASSED him OVER and made his"
pass over,"Ignore, refuse to discuss.",Let's PASS OVER what they said and get
pass round,"Distribute, give to people present.",They PASSED ROUND copies of the
pass to,Give ownership or responsibility to,someone.The shares PASSED TO his daughter
pass to,Become owner of or responsible for,something.The property will PASS TO her when
pass up,Decline a chance.,She PASSED UP the opportunity to go to
pat down,Search or frisk someone.,The police PATTED them DOWN for
patch up,Fix or make things better.,I tried to PATCH things UP after the
patch up,Give an injured person basic medical,"treatment.After the accident, they PATCHED her"
pay back,Repay money borrowed.,I PAID BACK the twenty pounds I'd
pay back,Take revenge on.,I'm going to PAY him BACK for that
pay down,Pay a debt over time.,The British government can't PAY
pay for,Purchase.,I PAID twenty pounds FOR the book.
pay into,Deposit money.,I PAID the cash INTO my account.
pay off,Completely repay a debt.,The mortgage will be PAID OFF in
pay off,Produce a profitable or successful result.,Their patience PAID OFF when he finally
peck at,Eat very small amounts.,"The food wasn't very nice, so I PECKED"
peel away,Leave a group by moving in a different,direction.Some of the crowd PEELED AWAY to
peel away,,
peel off,Leave a group by moving in a different,"direction.When the police blocked the road, a few"
peel off,,
peel out,Accelerate rapidly from stationary.,"Fearing the police, he PEELED OUT in a"
peg away,Keep working at something.,I PEGGED AWAY for weeks before my
peg down,Fasten something to the ground.,We PEGGED the tent DOWN to stop the
peg it,Die.,"After a long illness, she finally PEGGED"
peg out,Put washing outside to dry.,I PEGGED the washing OUT after it
peg out,Die.,He PEGGED OUT last night from a heart
pencil in,Make a provisional appointment.,"I'll PENCIL Thursday night IN, but if"
pep up,Make something more interesting.,You need to PEP your writing UP.
pep up,"Make someone more enthusiastic,",Her talk PEPPED us UP.
perk up,"Feel better or happier, make someone feel","better or happier.She was ill in bed with flu, but she"
peter out,Lose impetus and stop.,"Everyone was keen at first, but the"
phase in,Introduce gradually.,They are PHASING IN the reforms over
phase out,Remove gradually.,They have introduced a compact edition
pick at,Eat unwillingly.,I wasn't very hungry so I just PICKED
pick at,Criticise.,There were a few problems that could be
pick off,Target individuals to change a group.,There were many rebels against the
pick on,"Bother, annoy, criticize or make fun of",someone.My friends always PICK ON me because
pick out,Choose.,She PICKED OUT the ones she wanted
pick out,Identify from a picture.,The victim couldn't PICK OUT her
pick up,Improve.,Sales PICKED UP a bit during the
christmas period,.,
pick up,Learn quickly.,She PICKED UP Spanish in six months.
pick up,Collect.,"While you're in town, can you PICK UP"
pick up,Receive (a broadcast).,When we rent a holiday cottage in
pick up,Collect (a person).,This differs from the
can you,PICK UP some friends of mine,
pick up,,
pick up on,Correct someone when they say something,wrong.My teacher PICKS UP ON any mistake I
pick up on,Notice something that most people don't.,He's very quick to PICK UP ON new
pick up on,React to something.,The government has PICKED UP ON the
pick up on,Comment on something said earlier in a,conversation.I'd like to PICK UP ON the point that Jill
pig off,Used to tell someone to get lost or leave,you alone.He told them to PIG OFF and leave him
pig out,Eat a lot.,"The food was great, so I really PIGGED"
pile in,"Enter a place quickly, in a disorganised",way.The coach stopped and we all PILED IN.
pile into,"Enter a place quickly, in a disorganised",way.We PILED INTO the shop when it
pile on,Add or give more or something.,Work's crazy- they keep PILING ON the
pile on,Exaggerate or talk in a way to affect,"someone's feelings.It wasn't very serious, but they PILED"
pile out,"Leave a place quickly, in a disorganised",way.The train eventually arrived and we all
pile up,Accumulate.,Work just keeps on PILING UP and I
pile up,Accumulate in a pile or heap.,The ironing's PILING UP as I hate doing
pin down,"Get a fixed idea, opinion, etc, from","someone..I've asked him to set a date, but he's a"
pin down,Discover exact details about something.,The government can't PIN DOWN where
pin on,Attach the blame to someone.,The police tried to PIN the crime ON
pin up,"Fix something to a wall, or other vertical","surface, with a pin.I PINNED the notice UP on the board"
pine away,"Suffer physically because of grief, stress,","worry, etc.He's been PINING AWAY since his wife"
pipe down,Be quiet (often as an imperative).,The lecturer asked the students to PIPE
pipe up,"To speak, raise your voice.","At first, no one answered, then finally"
pit against,Compete or force to compete.,The war PITTED neighbour AGAINST
pit out,Go into the pits (car racing).,He PITTED OUT in the twentieth lap.
pitch for,Try to persuade someone to give your,"work, business, a job, etc.He PITCHED FOR the job, but they gave"
pitch in,Work together to help achieve an,"objective.We were behind schedule, but the others"
pitch into,Criticise severely or attack someone.,The shareholders PITCHED INTO the
plant out,Put a young plant that has been grown in a,pot or greenhouse into the ground.They need to be PLANTED OUT in the
plate up,Put food onto a plate to serve.,PLATE UP and drizzle with salsa verde.
play along,Pretend to agree or accept something in,order to keep someone happy or to get
play around,Be silly.,The children were PLAYING AROUND
play around,Be sexually promiscuous or unfaithful.,I PLAYED AROUND a lot at college.
play at,Pretend to be something.,He just PLAYS AT being a lawyer- he
play away,Be sexually unfaithful when away from,home.He travels abroad a lot and his wife
play back,Listen to or watch something you've,recorded.We PLAYED the recording BACK to see
play down,Try to make something seem less,important.The Government has tried to PLAY
play off,Play a game to decide who the winner is.,"As both teams had the same points, they"
play off,Make people compete against each other,so that you benefit.He PLAYED them OFF against each
play on,Continue playing a sport though there,"might be a reason to stop.It looked like a foul, but the referee told"
play on,Continue playing music.,The band PLAYED ON for another hour.
play on,Exploit a weakness.,They are just PLAYING ON our fears to
play on,Pun.,The advert PLAYS ON the slogan
play out,"Progress, often till it finishes.",Let's see how things PLAY OUT.
play out,Pretend that something is real and reduce,its effect.Computer games allow people to PLAY
play out,Play something to the end.,Rain stopped them PLAYING the game
play out,"Unwind (e.g., fishing line).","When he hooked the swordfish, his line"
play up,Behave badly.,The children PLAYED UP all evening
play up to,Flatter someone.,I'm PLAYING UP TO my boss at the
play up to,Behave in a way expected.,He's got a reputation for being trouble
play upon,Exploit a weakness.,They are PLAYING UPON people's
play with,Touch and move something to occupy,your hands.He can't stop PLAYING WITH his beard.
play with,Not eat much of a meal.,"I wasn't hungry, so I just PLAYED WITH"
play with,"Consider something, but not seriously.","We PLAYED WITH the idea, but decided"
plead out,Plead guilty to get a reduced sentence or,fine.The CEO PLEADED OUT and blamed
plough back,Re-invest money you have made into a,business.We PLOUGHED BACK all the profits to
plough into,Collide into at speed.,The bus skidded and PLOUGHED INTO
plough on,Continue doing something you don't want,"to.It was really boring, but we PLOUGHED"
plough up,Break the surface of soil.,The tractor PLOUGHED UP the field so
plow back,Re-invest money you have made into a,business.We PLOWED BACK all the profits to
plow into,Collide into at speed.,The bus skidded and PLOWED INTO the
plow on,Continue doing something you don't want,"to.It was really boring, but we PLOWD ON."
plow up,Break the surface of soil.,The tractor PLOWED UP the field so
pluck at,Pull or fiddle with something nervously.,He was PLUCKING AT his cuffs during
pluck up,"Muster, acquire, gather.",They PLUCKED UP the courage to
plug in,Connect machines to the electricity supply.,He PLUGGED the TV IN and turned it
plump for,Choose.,I PLUMPED FOR the steak frites.
plump up,Make something like a cushion bigger and,softer by shaking it.I PLUMPED UP the pillow and lay
point out,Make someone aware of something.,He POINTED OUT that I only had two
poke about,Move things around or search in a casual,way to try to find something.I POKED ABOUT in my CD collection
polish off,"Finish, consume.",She POLISHES OFF half a bottle of gin
polish up,Improve something quickly.,I need to POLISH UP my French before I
pony up,Pay for something.,I had to PONY fifty dollars UP for the
poop out,Get too tired to do something.,"I was going to write my essay, but I"
poop out on,Fail to keep an appointment.,"We were supposed to meet yesterday, but"
pootle along,Travel in a leisurely way.,We were POOTLING ALONG at thirty
pop in,Visit for a short time.,He POPPED IN for a coffee on his way
pop off,"Talk loudly, complain.",He's always POPPING OFF when things
pop off,Go out for a short time.,He's just POPPED OFF for a break but
pop out,Go out for a short time.,I'm just POPPING OUT to the shops. Do
pop up,"Appear, like windows and boxes opening",on a computer screen..The dialogue box POPPED UP up when I
pop up,Appear unexpectedly.,I'm going to have to work late tonight
pore over,"Read, look at or study carefully.",She PORED OVER the report looking for
pour down,Rain hard.,It POURED DOWN all day so we had to
pour forth,Emerge from a place in large numbers.,Useless statistics POUR FORTH from
power down,Cut the electricity supply to a computer or,electronic device.I POWERED DOWN my computer and
power off,Cut the electricity to a computer or device,to turn it off.You mustn't POWER it OFF while it is
power up,Turn a computer or electronic device on so,that it is ready to use.I POWERED UP my laptop and started
prattle on,Talk too much.,Geoff just PRATTLED ON instead of
press ahead,Continue with something.,They PRESSED AHEAD with the
press for,Apply pressure to get permission or to,obtain something.The workers are PRESSING FOR better
press into,Bring or force into use.,"When the line was breached, reserve"
press on,Continue with something.,We PRESSED ON to get to our
press upon,Pressure someone to accept something,offered.The invitations were PRESSED UPON us
prey on,Catch and kill an animal for food.,Spiders PREY ON insects.
prey on,Exploit or harm.,They PREY ON older people.
prey upon,Catch and kill an animal for food.,Cats PREY UPON birds and mice.
prey upon,Exploit or harm.,They PREY UPON people's fears about
price in,Include the affects of possible future,events when assessing the value of
price up,Charge more for something.,In rural areas where they have a
print out,Make a hard copy of a computer,document.He PRINTED OUT the letter and
prop up,"Support something, both physically and","financially, politically, etc..The council have PROPPED UP the"
psych out,Work out or anticipate someone's,intentions.We have to try to PSYCH OUT our
psych out,Make someone less confident.,Boxers try to PSYCH their opponents
psych up,Prepare someone mentally.,I PSYCHED myself UP for the exam.
pucker up,Move your lips into position to receive a,kiss.She PUCKERED UP when he leant
pull ahead,"Overtake, move in front.",The lorry was going slowly but we
pull apart,"Destroy an argument, theory, etc.",My tutor PULLED my essay APART.
pull apart,Stop people or animals fighting.,A fight broke out in the pub and it was
pull apart,Make someone unhappy or upset.,It PULLED me APART to see them
pull away,When a vehicle moves from a place.,The car PULLED AWAY from the lights
pull back,Score a goal or point when losing.,They were two-nil down until five
pull back,"Move away from a place, especially when",talking about soldiers.They have PULLED the troops BACK
pull back,Move away from someone.,She PULLED BACK when he tried to
pull back,Decide not to do something or not to be,involved with it any longer.They PULLED BACK from the deal.
pull down,Demolish.,They PULLED the old cinema DOWN to
pull down,Make someone depressed.,Losing her job PULLED her DOWN.
pull down,Earn.,He's PULLING DOWN a fortune.
pull for,Support.,Who will you be PULLING FOR in the
pull in,When a train arrives at a station.,The train PULLED IN and we rushed to
pull in,Attract.,Their last tour PULLED IN millions of
pull in,Stop a car by the side of the road.,I PULLED IN to let the passengers out.
pull in,Areest or take someone to a police station,for questioning.The police PULLED them IN after the
pull off,Manage to do something difficult or tricky.,No-one thought that she would be able to
pull off,Start moving (vehicles).,"When the lights turned green, the car"
pull on,Put clothes on.,I PULLED ON a jumper when the sun
pull out,Start moving (train).,The train was PULLING OUT when I got
pull out,Move into traffic.,The traffic was so bad that it took me
pull out,Withdraw.,The project was going badly and they
pull out,Remove soldiers from an area.,People want the government to PULL the
pull over,Stop by the side of the road.,The police PULLED the car OVER
pull over,Make a vehicle stop.,The police PULLED the car OVER and
pull to,Close a door or window that has been left,"open.Could you PULL the door TO, please?"
pull up,Slow and stop a car.,The cab PULLED UP outside my house
pull up,Inform someone that they are wrong.,He PULLED me UP because I had got
push in,Get in a queue without waiting.,She just PUSHED IN the queue in front
put across,"Communicate, convey a message.",He found it difficult to PUT ACROSS
put away,Put something back in the correct place.,He PUT the dictionary BACK on the
put away,Put someone in prison.,The judge PUT him AWAY for ten years
put back,Rearrange something for a later time.,The AGM has been PUT BACK until
july the,seventeenth.,
put by,Save for the future.,I try to PUT some money BY every
put down,"Kill an animal because it's old, ill, etc..",He had his dog PUT DOWN because it
put down,Stop holding (but withdraw support,gently).PUT the gun DOWN slowly and keep
put down,,
put down to,Give as an explanation.,"He didn't score many, but we can PUT"
put in,Install.,They had to PUT IN a whole new central
put in for,Make a request.,He PUT IN FOR a transfer to the new
put off,Postpone.,The concert's been PUT OFF until next
put off,Stop liking something or somebody.,I was really PUT OFF by the way he eats
put on,Get fat.,He's PUT ON a lot of weight since he
put on,"Deceive, lie.",I am not PUTTING you ON.
put on,Start wearing.,I PUT my coat ON before we went out.
put out,Broadcast.,Several charities PUT OUT an appeal on
put out,Disturb or trouble someone.,Would it be PUTTING you OUT greatly
put out,"Extinguish a cigarette, fire, etc..",He PUT OUT his cigarette before
put over,"Successfully execute (a scam, trick, etc.).",They PUT OVER a clever practical joke
put through,Connect someone by phone.,Could you PUT me THROUGH to
put towards,Make a financial contribution.,She PUT $250 TOWARDS the cost of the
put up,Allow someone to stay at your house for a,night or a few days..She PUT me UP for the night because I'd
put up,"Increase prices, taxes, duties, etc..",The government has PUT tuition fees for
put up,"Show skill or determination in a contest,","competition, fight, etc.They PUT UP a great fight but lost."
put up to,Encourage someone to do something.,His friends PUT him UP TO stealing it.
put up with,Tolerate.,I can't PUT UP WITH my neighbour's
quarrel out,Argue with someone about a specific,subject.The girl's mother was QUARRELING
queer up,"Mess up, ruin.",I QUEERED the exam UP.
quit on,"Stop working, associating or being friends","with someone, especially when they need"
quit on,Stop working or functioning.,My phone has QUIT ON me- can I
race off,"Hurry away, leave somewhere quickly.",They RACED OFF when the police
rack off,Used to tell someone to go away because,they're annoying you.He told her to RACK OFF.
rack out,"Sleep, take a nap.",I'm tired- I'm going to RACK OUT.
rack up,Acquire a lot of something.,He's RACKED UP a number of
rack up,Damage.,They RACKED UP the car in an
rain down,,
rain off,Be postponed or stopped by rain (usually,passive).The match was RAINED OFF.
rain out,Be postponed or stopped by rain (usually,passive).The game was RAINED OUT.
rake in,"Earn, make money easily.",She's RAKING IN thousands a day.
rake it in,Make a lot of money.,It's the only shop in the area and they're
rake off,Cheat someone by charging them too,much.They RAKE tourists OFF all the time.
rake over,"Talk, think, etc, about something negative",in the past.They keep RAKING OVER the rows we
rake up,Bring something back to people's,attention.The press have RAKED UP some
ramble on,Talk at length without getting to the point.,Quit RAMBLING ON- I’m tired of
ramp up,"Increase price, speed or power of",something.The company has RAMPED its prices UP
rap out,Say something firmly and loudly.,She RAPPED OUT the command.
rat on,Inform authorities about someone's,wrongdoings.She RATTED ON her neighbours to the
rat on,Fail to keep a promise.,He always RATS ON his promises.
rat out,Inform the authorities about someone.,He RATTED me OUT to the police.
rat through,Look for something hurriedly.,I RATTED THROUGH the papers on my
ratchet up,Increase.,The media are trying to RATCHET UP
rattle off,Quote figures rapidly.,She RATTLED OFF loads of statistics
reach out,Stretch your arm to get something.,I REACHED OUT and caught the ball.
reach out,,
reach out,,
reach out,,
reach out,,
read off,Read a list aloud for someone to write,down.I READ OFF the figures and she wrote
read out,Read aloud rather than silently.,The teacher READ OUT the names of the
read up on,Research.,I've been READING UP ON Japan as I'm
reason out,Come to a conclusion or solution after,some thought.He REASONED OUT the answer to the
reckon on,The minimum expected.,Jeff says we can RECKON ON there
reel in,Catch a fish on a line and pull the line to,land.He REELED IN a ten-pound salmon.
reel in,"Attract people, especially customers, to",They hope the discounts will REEL
reel off,Quote statistics or facts rapidly.,The minister REELED OFF a load of
reel off,Score a lot of points or win a lot of games,one after the other.They REELED OFF five victories and
reel out,Unwind.,I REELED OUT the hose and watered the
rein in,Control someone or something to stop,them causing more trouble.They had to REIN the minister IN after
rent out,"Let, grant a service or allow usage for a",fee.They RENTED their house OUT while
ride off,"Go away on a bike, horse, etc.",She got on her motorbike and RODE
ride on,Depend on.,His reputation is RIDING ON this deal
ride out,Survive a difficult time.,They managed to RIDE OUT the
ride up,Move higher on the body (of clothes).,Her skirt RODE UP when she sat down.
ring back,Return a phonecall.,I phoned and left a message this morning
ring in,Telephone to inform or confirm,something.I RANG IN and told them I would be
ring off,Finish a phone conversation.,Dave RANG OFF guiltily when he saw
ring out,Make a sudden loud sound.,Two shots RANG OUT and then we
